     species,alcohol,malic_acid,ash,alcalinity ash,magnesium
Syrah,13.03,0.9,1.71,16,86
Syrah,11.84,2.89,2.23,18,112
Syrah,12.33,0.99,1.95,14.8,136
Syrah,12.7,3.87,2.4,23,101
Syrah,12,0.92,2,19,86
Syrah,12.72,1.81,2.2,18.8,86
Syrah,12.08,1.13,2.51,24,78
Syrah,13.05,3.86,2.32,22.5,85
Syrah,11.84,0.89,2.58,18,94
Syrah,12.67,0.98,2.24,18,99
Syrah,12.16,1.61,2.31,22.8,90
Syrah,11.65,1.67,2.62,26,88
Syrah,11.64,2.06,2.46,21.6,84
Syrah,12.08,1.33,2.3,23.6,70
Syrah,12.08,1.83,2.32,18.5,81
Syrah,12,1.51,2.42,22,86
Syrah,12.69,1.53,2.26,20.7,80
Syrah,12.29,2.83,2.22,18,88
Syrah,11.62,1.99,2.28,18,98
Syrah,12.47,1.52,2.2,19,162
Syrah,11.81,2.12,2.74,21.5,134
Syrah,12.29,1.41,1.98,16,85
Syrah,12.37,1.07,2.1,18.5,88
Syrah,12.29,3.17,2.21,18,88
Syrah,12.08,2.08,1.7,17.5,97
Syrah,12.6,1.34,1.9,18.5,88
Syrah,12.34,2.45,2.46,21,98
Syrah,11.82,1.72,1.88,19.5,86
Syrah,12.51,1.73,1.98,20.5,85
Syrah,12.42,2.55,2.27,22,90
Syrah,12.25,1.73,2.12,19,80
Syrah,12.72,1.75,2.28,22.5,84
Syrah,12.22,1.29,1.94,19,92
Syrah,11.61,1.35,2.7,20,94
Syrah,11.46,3.74,1.82,19.5,107
Syrah,12.52,2.43,2.17,21,88
Syrah,11.76,2.68,2.92,20,103
Syrah,11.41,0.74,2.5,21,88
Syrah,12.08,1.39,2.5,22.5,84
Syrah,11.03,1.51,2.2,21.5,85
Syrah,11.82,1.47,1.99,20.8,86
Syrah,12.42,1.61,2.19,22.5,108
Syrah,12.77,3.43,1.98,16,80
Syrah,12,3.43,2,19,87
Syrah,11.45,2.4,2.42,20,96
Syrah,11.56,2.05,3.23,28.5,119
Syrah,12.42,4.43,2.73,26.5,102
Syrah,13.05,5.8,2.13,21.5,86
Syrah,11.87,4.31,2.39,21,82
Syrah,12.07,2.16,2.17,21,85
Syrah,12.43,1.53,2.29,21.5,86
Syrah,11.79,2.13,2.78,28.5,92
Syrah,12.37,1.63,2.3,24.5,88
Syrah,12.04,4.3,2.38,22,80
Zinfandel,12.86,1.35,2.32,18,122
Zinfandel,12.88,2.99,2.4,20,104
Zinfandel,12.81,2.31,2.4,24,98
Zinfandel,12.7,3.55,2.36,21.5,106
Zinfandel,12.51,1.24,2.25,17.5,85
Zinfandel,12.6,2.46,2.2,18.5,94
Zinfandel,12.25,4.72,2.54,21,89
Zinfandel,12.53,5.51,2.64,25,96
Zinfandel,13.49,3.59,2.19,19.5,88
Zinfandel,12.84,2.96,2.61,24,101
Zinfandel,12.93,2.81,2.7,21,96
Zinfandel,13.36,2.56,2.35,20,89
Zinfandel,13.52,3.17,2.72,23.5,97
Zinfandel,13.62,4.95,2.35,20,92
Zinfandel,12.25,3.88,2.2,18.5,112
Zinfandel,13.16,3.57,2.15,21,102
Zinfandel,13.88,5.04,2.23,20,80
Zinfandel,12.87,4.61,2.48,21.5,86
Zinfandel,13.32,3.24,2.38,21.5,92
Zinfandel,13.08,3.9,2.36,21.5,113
Zinfandel,13.5,3.12,2.62,24,123
Zinfandel,12.79,2.67,2.48,22,112
Zinfandel,13.11,1.9,2.75,25.5,116
Zinfandel,13.23,3.3,2.28,18.5,98
Zinfandel,12.58,1.29,2.1,20,103
Zinfandel,13.17,5.19,2.32,22,93
Zinfandel,13.84,4.12,2.38,19.5,89
Zinfandel,12.45,3.03,2.64,27,97
Zinfandel,14.34,1.68,2.7,25,98
Zinfandel,13.48,1.67,2.64,22.5,89
Zinfandel,12.36,3.83,2.38,21,88
Zinfandel,13.69,3.26,2.54,20,107
Zinfandel,12.85,3.27,2.58,22,106
Zinfandel,12.96,3.45,2.35,18.5,106
Zinfandel,13.78,2.76,2.3,22,90
Zinfandel,13.73,4.36,2.26,22.5,88
Zinfandel,13.45,3.7,2.6,23,111
Zinfandel,12.82,3.37,2.3,19.5,88
Zinfandel,13.58,2.58,2.69,24.5,105
Zinfandel,13.4,4.6,2.86,25,112
Zinfandel,12.2,3.03,2.32,19,96
Zinfandel,12.77,2.39,2.28,19.5,86
Zinfandel,14.16,2.51,2.48,20,91
Zinfandel,13.71,5.65,2.45,20.5,95
Zinfandel,13.4,3.91,2.48,23,102
Zinfandel,13.27,4.28,2.26,20,120
Zinfandel,13.17,2.59,2.37,20,120
Zinfandel,14.13,4.1,2.74,24.5,96
